Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion
TypeVariable,"com.beust.jcommander.internal.Maps.newHashMap.V",1,0,0,0,0,0,0,0,,1,0
Public Static Generic Method,"com.beust.jcommander.internal.Maps.newLinkedHashMap",,,,,,,,3,1,,
TypeVariable,"com.beust.jcommander.internal.Maps.newLinkedHashMap.K",1,0,0,0,0,0,0,0,,1,0
TypeVariable,"com.beust.jcommander.internal.Maps.newLinkedHashMap.V",1,0,0,0,0,0,0,0,,1,0
Public Annotation,"com.beust.jcommander.internal.Nullable",0,0,0,0,0,0,0,2,,0,0
Public Class,"com.beust.jcommander.internal.Sets",1,3,0,0,0,2,2,8,,1,0
Public Static Generic Method,"com.beust.jcommander.internal.Sets.newHashSet",,,,,,,,3,1,,
TypeVariable,"com.beust.jcommander.internal.Sets.newHashSet.K",1,0,0,0,0,0,0,0,,1,0
Public Static Generic Method,"com.beust.jcommander.internal.Sets.newLinkedHashSet",,,,,,,,3,1,,
TypeVariable,"com.beust.jcommander.internal.Sets.newLinkedHashSet.K",1,0,0,0,0,0,0,0,,1,0
Package,"com.beust.jcommander.parser",,,,1,0,1,,10,,,
