Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion
Abstract Method,"com.beust.jcommander.Parameter.validateValueWith",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.Parameter.validateWith",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.Parameter.variableArity",,,,,,,,1,0,,
Public Class,"com.beust.jcommander.ParameterDescription",1,32,0,34,11,34,34,317,,1,88
Public Constructor,"com.beust.jcommander.ParameterDescription.ParameterDescription",,,,,,,,6,1,,
Public Constructor,"com.beust.jcommander.ParameterDescription.ParameterDescription",,,,,,,,12,2,,
Class,"com.beust.jcommander.ParameterDescription.SubParameterIndex",1,1,0,1,2,1,1,8,,1,0
Public Constructor,"com.beust.jcommander.ParameterDescription.SubParameterIndex.SubParameterIndex",,,,,,,,4,1,,
Public Method,"com.beust.jcommander.ParameterDescription.addValue",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.addValue",,,,,,,,3,1,,
Method,"com.beust.jcommander.ParameterDescription.addValue",,,,,,,,45,11,,
Private Method,"com.beust.jcommander.ParameterDescription.fieldIsSetForTheFirstTime",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.ParameterDescription.findResourceBundle",,,,,,,,14,3,,
Private Method,"com.beust.jcommander.ParameterDescription.findSubParameters",,,,,,,,11,3,,
Public Method,"com.beust.jcommander.ParameterDescription.getDefault",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.getDescription",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.getLongestName",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.getNames",,,,,,,,9,3,,
Public Method,"com.beust.jcommander.ParameterDescription.getObject",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.getParameter",,,,,,,,3,1,,
